"YPD1"	"YPD2"	"YPD3"	"YPD4"	"YPD5"	"YPD6"	"RAPA1"	"RAPA2"	"RAPA3"	"RAPA4"	"RAPA5"	"RAPA6"
"YEL070W"	0	0	0	1	0	0	0	1	0	0	0	0
"YEL069C"	0	0	0	0	0	0	0	0	0	0	0	0
"YEL068C"	18	28	9	21	30	21	37	58	24	46	49	30
"YEL067C"	0	0	0	0	0	0	0	0	0	0	0	0
"YEL066W"	16	10	7	9	9	7	83	78	33	73	83	63
"YEL065W"	46	38	23	50	39	45	42	55	38	43	55	29
"YEL064C"	5	6	1	4	4	1	9	14	7	14	13	15
"YEL063C"	1	1	0	1	0	0	10	10	7	11	12	13
"YEL062W"	3	4	0	2	4	4	9	9	6	14	14	9
"YEL061C"	1	0	0	0	1	0	2	0	0	5	1	0
"YEL060C"	9	12	3	8	11	9	111	118	54	105	98	87
"YEL059C.A"	1	3	0	1	0	1	24	28	13	25	16	25
"YEL059W"	0	0	0	0	0	0	0	0	0	0	0	0
"YEL058W"	18	26	13	29	35	22	50	66	20	47	59	30
"YEL057C"	0	0	1	0	0	1	2	1	2	0	4	1
"YEL056W"	15	12	6	23	12	10	28	31	12	19	23	15
"YEL055C"	27	44	14	32	40	23	11	11	8	9	11	6
"snR80"	0	0	1	1	0	0	0	0	0	0	0	0
"YEL054C"	1896	1993	667	2057	1946	1398	129	186	103	133	137	129
"YEL053W.A"	0	1	0	4	2	0	0	0	0	0	0	0
"YEL053C"	11	13	1	7	7	4	3	1	0	5	2	2
"YEL052W"	18	13	6	17	15	10	22	28	5	25	24	14
"YEL051W"	148	156	50	166	139	98	158	203	100	139	167	134
"YEL050W.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YEL050C"	14	9	5	13	8	12	18	17	7	17	15	16
"snR67"	0	0	0	0	0	0	0	0	0	0	0	0
"snR53"	0	0	0	0	0	0	0	0	0	0	0	0
"YEL049W"	0	1	0	0	1	0	1	1	1	2	2	2
"YEL048C"	12	13	7	12	8	11	4	2	0	4	4	4
"YEL047C"	4	7	2	2	2	2	7	14	9	15	7	9
"YEL046C"	88	102	37	97	81	76	45	53	29	34	48	26
"YEL045C"	0	1	0	0	1	0	0	0	0	0	0	0
"YEL044W"	35	30	8	33	29	25	35	33	20	31	28	27
"YEL043W"	9	9	4	13	6	4	10	10	8	5	4	9
"YEL042W"	34	39	12	32	33	21	13	30	8	15	23	16
"YEL041W"	0	1	0	1	1	1	3	12	2	2	8	0
"YEL040W"	79	92	31	89	88	66	60	60	26	60	73	47
"YEL039C"	2	2	0	3	3	3	33	46	17	32	34	28
"YEL038W"	29	36	8	20	31	26	52	69	27	51	72	50
"YEL037C"	19	28	8	23	19	17	32	37	13	25	38	22
"YEL036C"	14	19	6	21	21	7	8	15	11	18	17	11
"YEL035C"	0	0	0	0	0	0	0	0	0	0	0	0
"YEL034C.A"	6	5	4	4	6	2	5	6	0	4	2	2
"YEL034W"	1451	1634	527	1636	1539	1076	1111	1329	590	1066	1244	967
"YEL033W"	768	824	286	842	768	616	581	710	322	574	603	521
"YEL032W"	19	15	5	17	24	15	21	27	7	19	30	19
"YEL032C.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YEL031W"	57	58	17	50	46	39	73	106	51	95	92	88
"YEL030C.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YEL030W"	3	2	0	2	0	1	2	4	1	3	4	0
"YEL029C"	12	3	4	6	10	5	10	11	4	10	16	9
"YEL028W"	0	0	0	3	7	1	2	1	1	4	5	3
"YEL027W"	896	965	361	1007	923	696	913	1139	541	929	1043	870
"YEL026W"	879	968	324	954	936	652	46	57	31	58	54	41
"YEL025C"	0	1	1	1	0	0	3	5	2	5	7	8
"YEL024W"	33	22	19	31	30	30	57	77	41	52	52	56
"YEL023C"	5	1	1	1	2	3	2	1	0	4	1	1
"YEL022W"	18	19	5	12	10	9	5	14	6	13	9	11
"YEL021W"	44	60	19	60	60	42	33	42	21	31	39	33
"YEL020C.B"	0	0	0	0	0	0	0	0	0	0	0	0
"YEL020W.A"	42	50	18	50	39	30	51	72	35	50	44	53
"RPR1"	0	0	0	0	1	0	1	0	1	0	0	0
"YEL020C"	1	1	0	0	0	1	1	2	4	1	1	2
"YEL019C"	1	2	0	1	2	0	3	0	0	0	2	0
"YEL018C.A"	0	0	0	1	0	0	0	0	0	0	0	0
"YEL018W"	15	10	6	16	13	9	8	13	4	9	9	7
"YEL017C.A"	837	889	323	844	841	649	736	861	446	774	861	688
"YEL017W"	9	14	7	21	6	13	27	38	24	29	36	24
"YEL016C"	0	8	3	11	4	3	13	9	5	10	9	11
"YEL015W"	33	39	12	38	36	28	17	25	20	14	9	21
"YEL014C"	0	0	0	0	0	0	0	0	0	0	0	0
"YEL013W"	23	23	7	26	23	16	30	44	16	38	33	32
"YEL012W"	6	8	1	9	8	4	19	32	19	26	21	16
"YEL011W"	1	2	2	3	1	0	46	54	31	58	62	44
"YEL010W"	0	0	0	0	0	0	0	0	0	0	0	0
"YEL009C.A"	0	0	0	0	0	0	0	1	1	0	0	1
"YEL009C"	297	297	106	277	302	189	284	383	173	279	321	256
"YEL008W"	0	0	0	0	0	0	1	0	0	0	0	0
"YEL008C.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YEL007W"	11	19	5	14	13	11	35	44	25	22	34	31
"YEL006W"	17	23	7	18	7	14	42	58	33	51	44	46
"YEL005C"	6	6	0	3	3	3	9	12	5	13	8	10
"YEL004W"	2	5	1	8	3	2	8	10	8	8	9	7
"YEL003W"	6	8	1	10	3	5	2	4	5	1	3	1
"YEL002C"	74	76	24	70	75	46	106	102	62	92	102	119
"YEL001C"	92	111	38	91	85	85	116	150	80	131	134	109
"YER001W"	6	7	0	3	10	6	23	34	11	21	22	26
"YER002W"	22	25	7	22	27	19	2	5	0	2	2	4
"YER003C"	59	67	25	74	78	47	104	128	65	117	112	107
"YER004W"	48	59	17	68	68	43	119	158	65	111	152	110
"YER005W"	8	3	1	12	6	7	9	12	4	9	8	8
"YER006W"	79	115	39	89	107	60	1	1	0	1	4	0
"YER006C.A"	0	0	0	0	0	0	0	2	0	1	0	1
"YER007W"	4	5	0	3	2	3	3	4	2	0	2	2
"YER007C.A"	95	79	27	102	92	66	37	52	17	49	56	43
"snR14"	0	0	0	0	0	0	0	0	0	0	0	0
"YER008C"	9	16	7	14	9	8	17	19	16	15	13	23
"YER009W"	489	550	181	527	453	393	416	584	206	402	463	408
"YER010C"	16	21	4	24	20	21	34	52	14	38	52	46
"YER011W"	28	30	7	10	19	12	21	33	42	38	32	13
"YER012W"	105	84	38	114	102	86	150	204	72	144	176	132
"YER013W"	5	8	2	12	4	6	7	13	7	12	11	16
"YER014W"	7	6	0	5	8	4	9	20	7	11	18	7
"YER014C.A"	0	0	0	0	0	0	1	0	0	0	0	0
"YER015W"	0	0	1	1	0	0	0	3	1	0	1	0
"YER016W"	3	7	0	3	8	8	7	14	11	9	11	4
"YER017C"	7	5	0	5	5	2	12	9	11	9	8	8
"YER018C"	6	4	1	7	6	4	19	33	6	34	22	18
"YER019W"	17	7	3	16	12	7	37	49	30	40	38	36
"YER019C.A"	160	176	57	181	176	129	206	270	127	234	267	224
"YER020W"	8	9	3	8	11	5	17	21	4	18	21	15
"YER021W"	29	30	9	30	38	25	41	23	20	30	41	34
"YER022W"	9	12	3	8	7	7	8	10	4	12	8	7
"YER023W"	181	228	70	188	207	141	305	379	176	267	328	288
"YER023C.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YER024W"	4	2	3	2	5	6	31	52	16	38	29	37
"YER025W"	155	180	64	167	175	113	36	49	15	37	36	36
"YER026C"	38	44	16	41	48	27	109	142	59	94	117	92
"YER027C"	19	21	8	23	24	17	23	27	3	23	20	22
"YER028C"	0	6	2	5	5	3	7	4	1	3	1	7
"YER029C"	27	30	6	19	25	21	12	23	12	11	13	19
"YER030W"	19	7	8	10	10	10	15	18	8	12	10	17
"YER031C"	78	92	33	88	90	65	99	125	50	79	131	86
"YER032W"	1	2	1	1	2	1	4	13	2	6	4	9
"YER033C"	1	1	0	0	0	3	6	7	2	3	7	4
"YER034W"	14	10	5	14	10	4	13	20	3	17	18	12
"YER035W"	11	26	13	27	17	9	90	101	37	91	80	76
"YER036C"	124	167	45	126	129	116	39	47	21	37	36	34
"YER037W"	2	2	0	2	1	2	54	58	35	55	53	64
"YER038C"	1	0	0	1	3	1	3	3	1	0	0	2
"YER038W.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YER039C"	1	2	2	0	1	0	14	9	4	13	3	5
"YER039C.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YER040W"	6	9	1	7	8	5	24	17	3	19	17	11
"YER041W"	1	0	0	4	1	0	6	5	5	2	6	6
"YER042W"	46	45	15	46	40	24	31	36	11	32	29	15
"YER043C"	273	305	97	278	272	201	119	185	88	141	164	134
"YER044C"	42	43	12	49	41	23	149	197	90	137	148	129
"YER044C.A"	0	0	1	0	0	0	1	1	0	0	0	0
"YER045C"	1	1	2	1	0	1	3	9	3	5	6	5
"YER046W"	18	15	5	14	10	11	26	36	16	39	28	19
"YER046W.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YER047C"	0	0	0	3	3	0	2	1	0	2	2	2
"YER048C"	28	27	11	32	30	18	35	41	33	45	45	30
"YER048W.A"	85	100	34	101	92	72	136	186	55	145	156	121
"YER049W"	36	51	19	41	55	28	10	6	5	7	10	11
"YER050C"	6	11	0	10	8	10	9	6	4	16	8	8
"YER051W"	0	2	0	0	2	0	5	8	4	6	1	2
"YER052C"	10	11	3	13	9	13	19	31	14	31	39	29
"YER053C"	4	9	4	10	2	5	43	40	17	38	45	21
"YER053C.A"	0	0	0	0	0	1	1	0	0	0	0	0
"YER054C"	0	0	0	1	0	2	2	3	1	0	3	0
"YER055C"	235	231	82	215	212	156	212	250	119	228	282	214
"YER056C"	137	152	65	140	145	117	175	187	86	174	187	134
"YER056C.A"	914	877	336	897	857	645	222	244	131	214	226	163
"YER057C"	197	189	69	202	204	166	288	406	172	259	309	274
"YER058W"	4	3	2	5	4	3	18	16	9	12	19	9
"YER059W"	10	9	5	6	19	11	24	18	13	10	19	20
"YER060W"	2	0	0	1	3	1	5	15	8	3	11	5
"YER060W.A"	1	0	0	0	2	0	0	1	0	0	0	0
"YER061C"	4	3	0	4	1	1	17	16	11	18	18	16
"YER062C"	24	22	8	27	25	18	122	140	77	127	140	98
"YER063W"	51	63	15	54	48	48	118	149	53	141	129	107
"YER064C"	34	31	9	23	29	21	6	5	2	4	6	4
"YER065C"	2	3	2	1	2	1	4	3	2	4	3	2
"YER066W"	2	0	0	1	1	2	10	1	3	5	3	4
"YER066C.A"	0	0	0	0	0	0	0	0	0	0	1	0
"YER067W"	11	5	2	14	11	5	145	187	74	142	144	137
"YER067C.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YER068W"	6	10	7	8	9	7	20	24	19	30	23	28
"YER068C.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YER069W"	1	0	0	3	0	1	13	8	3	6	7	5
"YER070W"	29	42	16	37	30	16	30	56	18	36	34	26
"YER071C"	21	24	6	26	38	15	21	41	16	30	28	27
"YER072W"	1082	1257	415	1191	1163	818	609	696	328	584	685	558
"YER073W"	37	28	9	32	30	23	34	53	23	28	41	37
"YER074W"	2004	2233	783	2211	2115	1525	695	791	395	648	695	566
"YER074W.A"	32	34	9	33	32	20	52	76	36	58	51	57
"YER075C"	5	2	2	2	3	2	2	3	2	2	2	1
"YER076C"	1	1	0	1	1	0	4	5	4	5	1	5
"YER076W.A"	0	0	1	2	1	2	5	3	1	3	4	0
"YER077C"	3	4	3	6	1	4	11	10	2	5	5	7
"YER078C"	8	5	2	11	8	5	7	24	5	11	21	11
"YER078W.A"	0	0	0	0	0	0	3	1	0	1	1	1
"YER079W"	3	2	0	3	3	1	25	31	17	23	25	17
"YER079C.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YER080W"	18	22	5	13	22	17	19	40	22	40	33	28
"SRG1"	0	0	0	0	0	0	0	0	0	0	0	0
"YER081W"	5	9	0	8	5	2	8	7	5	10	6	9
"YER082C"	11	11	3	15	14	8	0	2	0	0	3	1
"YER083C"	31	43	14	35	37	33	68	75	32	55	68	58
"YER084W"	0	0	0	0	1	0	2	1	1	1	0	0
"YER084W.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YER085C"	0	0	0	0	0	0	0	0	0	1	0	0
"YER086W"	52	57	25	53	43	43	43	57	25	44	50	33
"YER087W"	2	3	1	4	5	0	7	12	5	9	8	7
"YER087C.A"	1	0	0	0	0	0	0	0	0	0	0	0
"YER087C.B"	176	188	64	210	212	137	203	268	116	202	243	199
"YER088C"	20	20	7	25	20	14	35	41	29	29	31	28
"YER088C.A"	1	1	0	3	4	2	4	5	4	2	7	6
"YER088W.B"	0	0	0	0	0	0	0	0	0	0	0	0
"YER089C"	22	16	5	20	19	13	22	41	17	25	45	30
"YER090W"	50	60	18	58	71	47	91	95	43	83	83	64
"YER090C.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YER091C"	39	25	15	40	39	18	65	81	30	53	77	63
"YER091C.A"	0	0	0	0	2	1	0	0	0	0	0	0
"YER092W"	29	34	13	33	37	23	32	37	17	37	25	24
"YER093C"	3	2	3	2	2	3	3	5	1	1	2	1
"YER093C.A"	6	9	4	6	8	6	13	25	9	21	23	17
"YER094C"	131	134	49	112	130	99	149	208	88	146	153	126
"YER095W"	26	23	11	27	26	20	67	84	33	66	60	63
"YER096W"	0	0	0	0	0	0	2	0	1	1	3	1
"YER097W"	1	0	0	0	0	0	0	0	0	1	0	0
"YER098W"	1	2	1	0	1	0	8	5	3	9	5	4
"YER099C"	33	35	10	46	41	19	18	24	10	21	16	14
"YER100W"	36	50	19	38	43	21	23	41	33	45	35	31
"YER101C"	2	6	0	1	3	0	8	6	2	8	4	7
"YER102W"	1215	1388	479	1324	1188	917	250	316	158	248	263	237
"YER103W"	0	4	1	4	1	0	8	8	5	5	7	3
"YER104W"	5	5	2	7	2	3	12	12	9	7	16	18
"YER105C"	13	12	1	9	12	9	16	20	5	20	13	10
"YER106W"	0	0	1	0	0	0	0	0	0	0	0	0
"YER107C"	34	45	13	29	36	25	23	27	11	26	23	16
"YER107W.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YER109C"	0	0	1	1	0	0	1	3	1	1	0	1
"YER110C"	56	67	19	86	73	47	9	12	5	8	9	6
"YER111C"	3	2	1	2	5	8	8	14	8	9	14	8
"YER112W"	21	14	4	20	12	11	5	10	9	9	13	8
"YER113C"	5	6	1	4	3	3	3	3	2	3	6	6
"YER114C"	2	0	1	2	0	1	0	3	0	0	0	3
"YER115C"	15	8	7	20	15	7	12	18	3	5	14	8
"YER116C"	8	7	1	4	6	4	17	17	7	17	13	12
"YER117W"	1651	1847	589	1788	1713	1271	363	452	221	355	406	339
"YER118C"	16	19	8	19	20	15	11	8	8	7	12	6
"YER119C"	18	10	13	15	10	8	87	113	57	81	97	62
"YER119C.A"	0	0	0	0	0	0	0	0	0	0	0	1
"YER120W"	154	184	84	204	169	133	239	238	118	219	246	191
"YER121W"	0	0	0	1	1	0	4	9	6	5	6	4
"YER122C"	60	59	21	64	57	55	49	71	43	70	53	57
"YER123W"	9	13	3	17	15	10	8	7	5	20	16	7
"YER124C"	44	41	6	24	42	30	157	170	94	154	178	137
"YER125W"	39	53	20	45	49	41	81	73	42	70	79	58
"YER126C"	80	94	34	122	91	82	2	2	0	1	1	1
"YER127W"	31	31	8	39	36	25	0	1	0	0	0	3
"YER128W"	2	3	0	3	4	1	3	2	0	8	6	2
"YER129W"	3	5	1	4	1	1	4	5	1	4	1	1
"YER130C"	12	3	2	7	9	4	7	11	5	6	15	9
"YER131W"	1876	2084	742	2085	1984	1415	208	259	127	229	261	207
"snR4"	3	0	0	1	1	0	0	0	0	1	0	1
"YER132C"	3	2	2	3	5	3	15	6	5	13	6	9
"snR52"	0	0	0	0	0	0	0	0	0	0	0	0
"YER133W"	15	19	5	16	16	9	29	41	15	39	40	29
"YER133W.A"	0	0	0	0	0	0	0	0	0	1	0	0
"YER134C"	22	21	9	26	20	15	41	49	17	32	52	36
"YER135C"	0	0	0	0	0	0	0	0	0	0	0	1
"YER136W"	60	58	20	67	58	44	108	136	66	104	141	101
"YER137C"	4	4	1	4	6	5	0	1	2	0	0	0
"YER137W.A"	1	0	0	0	0	0	0	0	0	0	0	0
"SCR1"	0	0	0	0	2	2	1	0	1	1	0	1
"YER138C"	0	0	0	0	0	0	0	0	0	0	0	0
"YER137C.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YER138W.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YER139C"	6	10	5	8	10	3	21	34	16	33	30	20
"YER140W"	2	2	3	7	2	2	6	11	1	4	10	8
"YER141W"	17	22	6	13	13	9	60	79	29	56	65	51
"YER142C"	11	7	5	11	11	7	32	30	21	32	32	31
"YER143W"	14	16	7	17	13	15	22	38	15	20	19	21
"YER144C"	5	13	4	5	9	8	13	25	11	16	19	16
"YER145C"	55	65	20	67	77	57	42	68	27	49	73	46
"YER145C.A"	0	0	0	0	0	1	1	1	0	0	0	0
"YER146W"	66	89	27	71	105	61	61	91	54	96	86	73
"YER147C"	7	7	4	7	3	4	9	10	11	13	11	11
"YER147C.A"	0	0	0	1	0	0	0	0	0	0	0	0
"YER148W"	24	47	17	31	33	34	13	25	11	24	17	19
"YER148W.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YER149C"	5	8	3	9	6	7	2	4	1	7	4	5
"YER150W"	3	2	0	2	3	0	11	11	10	6	19	9
"YER151C"	10	6	2	13	8	5	12	9	6	4	7	6
"YER152C"	17	12	1	11	16	9	41	52	36	35	37	35
"YER152W.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YER153C"	0	0	0	0	0	0	0	0	0	0	0	0
"YER154W"	22	27	9	21	27	15	32	25	17	26	35	30
"YER155C"	19	27	16	27	22	13	31	40	19	30	40	24
"YER156C"	69	85	27	77	71	49	32	22	12	18	15	18
"YER157W"	4	9	2	7	8	3	4	13	7	7	9	8
"YER158C"	0	2	0	0	0	0	6	2	4	5	2	2
"YER158W.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YER159C"	39	48	27	43	47	23	28	35	28	32	54	40
"YER160C"	0	0	0	0	0	0	0	0	0	0	0	0
"YER159C.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YER161C"	22	27	11	29	22	16	20	29	12	17	31	26
"YER162C"	1	2	0	1	3	3	10	8	3	7	5	4
"YER163C"	22	23	10	36	19	19	63	90	31	64	58	41
"YER164W"	14	8	5	3	4	9	14	14	13	5	12	11
"YER165W"	202	230	81	220	227	159	116	130	53	107	126	90
"YER165C.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YER166W"	7	17	6	12	9	13	23	47	11	32	31	29
"YER167W"	6	2	0	1	3	4	9	14	6	12	8	6
"YER168C"	8	13	4	11	6	6	6	5	1	2	4	10
"YER169W"	1	1	1	0	3	1	0	1	0	0	2	1
"YER170W"	0	0	0	0	1	0	0	0	1	0	1	1
"YER171W"	7	13	5	8	9	9	4	6	2	7	11	5
"YER172C"	15	2	7	10	17	11	19	15	4	15	11	5
"YER172C.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YER173W"	2	1	1	2	2	0	4	11	1	7	13	7
"YER174C"	3	0	0	4	2	1	2	10	1	4	2	2
"YER175C"	11	9	1	3	12	3	199	252	91	207	219	151
"YER175W.A"	0	0	0	0	1	0	1	0	0	1	1	0
"YER176W"	12	14	6	8	14	6	24	28	5	25	20	13
"YER177W"	583	677	202	614	603	478	835	992	421	801	899	704
"YER178W"	177	204	76	204	187	144	291	346	181	280	365	267
"YER179W"	1	2	0	0	0	0	5	6	2	2	4	1
"YER180C"	11	11	5	21	7	9	17	17	4	11	13	6
"YER180C.A"	0	0	0	1	1	0	0	0	1	0	0	0
"YER181C"	0	0	0	0	0	0	2	0	0	0	1	0
"YER182W"	15	13	3	8	14	5	20	31	17	25	38	16
"YER183C"	20	20	3	15	18	17	29	43	23	29	38	18
"YER184C"	0	2	0	0	1	0	1	5	0	3	0	1
"YER185W"	0	1	0	1	0	0	0	1	1	0	0	3
"YER186C"	4	9	3	10	6	4	10	16	6	16	8	9
"YER187W"	5	0	0	1	0	0	0	1	0	1	3	0
"YER188W"	0	0	0	0	0	0	1	3	1	2	1	1
"YER188C.A"	0	0	0	1	0	1	1	3	1	2	1	0
"YER189W"	0	0	0	0	0	0	0	0	0	0	0	0
"YER190W"	0	0	0	0	0	0	0	0	0	0	1	0
"YER190C.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YER190C.B"	0	0	0	0	0	0	0	0	0	0	0	0
"YHL050C"	0	0	0	0	0	0	0	0	0	0	0	0
"YHL050W.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YHL049C"	0	0	0	0	0	0	0	0	0	0	0	0
"YHL048C.A"	0	0	0	0	0	0	0	0	0	0	1	0
"YHL048W"	6	11	4	12	17	10	35	40	17	36	34	26
"YHL047C"	2	4	1	2	5	2	6	7	2	11	14	10
"YHL046W.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YHL046C"	0	0	0	0	0	0	0	0	0	0	0	0
"YHL045W"	0	0	0	0	1	0	1	2	1	2	2	0
"YHL044W"	1	2	0	1	1	0	3	1	1	2	5	1
"YHL043W"	0	0	0	0	0	0	0	1	0	0	0	0
"YHL042W"	0	0	0	0	0	0	5	9	3	7	6	7
"YHL041W"	0	0	0	0	0	0	0	0	0	0	0	0
"YHL040C"	0	2	0	0	2	0	2	4	0	2	0	3
"YHL039W"	21	25	7	16	26	24	2	0	2	3	0	5
"YHL038C"	1	4	3	3	6	0	4	3	0	0	1	2
"YHL037C"	1	0	0	0	0	0	1	0	1	2	0	2
"YHL036W"	3	1	1	1	3	0	3	15	3	8	6	4
"YHL035C"	3	4	0	6	3	3	17	19	4	15	15	18
"YHL034W.A"	0	0	0	0	0	0	0	0	0	0	0	1
"YHL034C"	140	132	43	164	162	120	245	325	160	243	302	230
"YHL033C"	501	571	186	546	493	389	138	165	89	146	150	141
"YHL032C"	5	5	1	8	6	3	3	8	3	3	6	8
"YHL031C"	17	15	4	24	16	18	38	44	24	30	39	22
"YHL030W.A"	0	0	0	0	0	0	0	1	0	0	0	1
"YHL030W"	5	4	3	7	3	2	12	20	4	18	15	12
"YHL029C"	8	15	4	9	12	9	4	11	4	5	8	5
"YHL028W"	1	6	0	0	1	4	7	8	3	5	8	3
"YHL027W"	13	12	6	11	10	3	25	28	13	20	25	14
"YHL026C"	4	7	2	5	7	5	6	1	2	4	2	4
"YHL025W"	5	6	4	12	4	5	24	28	6	13	26	23
"YHL024W"	0	0	0	0	2	1	2	3	0	0	3	1
"YHL023C"	1	2	1	5	4	7	7	6	5	5	9	11
"YHL022C"	0	0	1	1	1	0	2	3	1	1	0	0
"YHL021C"	6	11	0	8	5	2	134	169	65	123	131	139
"YHL020C"	10	16	4	12	11	9	15	19	15	12	19	6
"YHL019W.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YHL019C"	3	7	1	6	2	3	17	28	10	15	16	19
"YHL018W"	1	1	0	0	0	1	0	0	0	0	0	0
"YHL017W"	3	4	2	8	10	5	3	11	6	7	6	9
"YHL016C"	1	6	0	1	3	1	101	85	57	85	98	93
"YHL015W.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YHL015W"	14	13	4	13	17	5	12	9	5	9	10	4
"YHL014C"	1	2	1	0	3	2	1	2	0	3	2	3
"YHL013C"	17	22	4	29	27	23	10	9	8	13	7	8
"YHL012W"	0	0	0	0	0	0	0	0	0	0	1	0
"YHL011C"	119	139	44	139	145	98	31	21	8	16	27	23
"YHL010C"	1	4	0	0	0	0	5	6	2	4	3	7
"YHL009C"	1	1	1	1	0	0	3	4	4	1	5	2
"YHL009W.B"	0	0	0	0	2	0	0	0	0	0	0	0
"YHL009W.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YHL008C"	6	10	3	5	7	3	5	10	2	6	9	4
"YHL007C"	14	11	0	16	8	6	5	5	3	7	3	6
"YHL006W.A"	1	1	0	0	0	0	2	0	0	0	1	1
"YHL006C"	1	1	0	0	1	0	3	1	0	1	0	0
"YHL005C"	0	0	0	0	0	0	0	0	0	0	1	0
"YHL004W"	16	13	3	9	14	8	20	26	14	25	25	20
"YHL003C"	42	27	11	36	41	28	32	33	11	34	24	17
"YHL002C.A"	1	0	0	0	1	1	0	0	0	0	0	0
"YHL002W"	15	24	5	21	20	11	17	32	11	23	22	23
"YHL001W"	513	521	169	533	522	366	70	106	50	67	97	88
"YHR001W"	9	26	5	11	26	10	30	33	23	24	22	16
"YHR001W.A"	55	90	31	68	82	61	157	187	82	153	177	143
"YHR002W"	4	6	1	1	3	2	5	14	2	7	6	10
"YHR003C"	19	14	11	21	21	13	6	18	11	11	9	16
"YHR004C"	0	3	0	1	1	1	2	3	1	3	3	1
"YHR005C"	0	2	2	3	3	1	2	10	3	2	2	1
"YHR005C.A"	174	204	67	186	191	152	132	177	83	151	130	148
"YHR006W"	2	6	4	7	5	8	23	22	19	21	43	25
"YHR007C"	182	219	84	199	168	138	170	202	100	171	171	142
"YHR007C.A"	0	0	0	0	0	1	0	0	0	0	0	0
"YHR008C"	30	40	9	41	33	26	117	123	74	120	121	99
"YHR009C"	12	22	11	18	12	15	31	49	27	25	30	29
"YHR010W"	1241	1413	463	1425	1270	890	278	337	158	257	274	238
"YHR011W"	2	3	1	4	3	2	5	8	3	6	3	6
"YHR012W"	19	18	6	27	28	16	44	42	21	33	37	30
"YHR013C"	78	82	28	89	87	65	33	39	21	34	41	34
"YHR014W"	0	0	0	0	0	0	1	0	1	0	0	0
"YHR015W"	0	2	0	0	0	0	1	0	0	0	1	1
"YHR016C"	8	7	2	7	2	3	40	39	16	39	36	35
"YHR017W"	9	15	0	6	6	11	17	24	21	19	20	11
"YHR018C"	13	14	5	17	11	6	564	743	277	557	681	510
"YHR019C"	223	258	94	264	251	172	140	179	65	119	158	137
"YHR020W"	121	156	49	140	139	85	15	19	8	19	9	21
"YHR021C"	1494	1515	563	1596	1542	1048	518	609	284	497	519	442
"YHR021W.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YHR022C"	0	0	0	0	2	1	2	0	0	2	1	0
"YHR022C.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YHR023W"	8	11	1	12	8	5	11	13	6	7	13	6
"YHR024C"	22	13	4	28	25	11	34	37	20	28	27	18
"YHR025W"	72	80	35	97	82	74	75	77	52	70	67	52
"YHR026W"	150	148	59	166	179	116	195	202	87	167	201	164
"YHR027C"	25	21	7	18	24	18	22	44	12	42	26	29
"YHR028C"	15	16	4	13	19	11	67	83	38	82	76	49
"YHR028W.A"	0	0	0	0	0	0	0	1	0	0	0	1
"YHR029C"	2	3	2	5	6	4	62	58	37	63	74	46
"YHR030C"	10	22	8	13	19	20	70	95	36	70	77	63
"YHR031C"	7	5	0	0	6	2	3	7	5	3	7	2
"YHR032W"	0	1	0	0	0	0	0	1	0	0	0	0
"YHR032W.A"	4	3	2	4	3	4	4	8	4	4	5	8
"YHR032C.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YHR033W"	1	3	4	6	6	2	0	2	0	1	0	0
"YHR034C"	5	9	3	4	2	9	3	13	4	4	3	4
"YHR035W"	1	0	0	1	2	1	7	2	1	2	5	7
"YHR036W"	3	1	1	3	3	1	2	0	1	3	2	1
"YHR037W"	12	15	10	12	19	7	52	70	25	61	51	46
"YHR038W"	2	8	1	4	4	3	10	4	0	3	3	2
"YHR039C"	20	22	11	26	23	19	32	40	16	29	44	35
"YHR039C.A"	87	96	34	92	92	84	85	111	66	70	99	75
