"YPD1"	"YPD2"	"YPD3"	"YPD4"	"YPD5"	"YPD6"	"RAPA1"	"RAPA2"	"RAPA3"	"RAPA4"	"RAPA5"	"RAPA6"
"snR47"	0	0	0	0	0	0	0	0	0	0	0	0
"YDR043C"	1	0	0	1	0	2	13	17	10	14	10	5
"YDR044W"	50	40	15	46	52	31	32	47	16	37	30	26
"YDR045C"	78	74	29	76	56	43	12	20	7	12	15	23
"YDR046C"	31	32	9	42	36	22	14	18	6	14	11	4
"YDR047W"	42	44	10	53	61	27	14	47	16	24	29	20
"YDR048C"	0	0	0	0	0	0	1	1	0	0	0	0
"YDR049W"	3	7	6	9	10	0	5	2	2	7	3	7
"YDR050C"	1615	1795	641	1816	1690	1209	1536	1849	831	1474	1606	1311
"YDR051C"	31	33	11	41	28	23	22	22	11	17	21	22
"YDR052C"	12	6	5	13	7	5	14	14	10	6	8	10
"YDR053W"	0	0	0	0	0	0	0	0	0	0	0	0
"YDR054C"	6	9	1	6	3	1	5	6	9	10	5	7
"YDR055W"	37	16	14	25	44	10	181	273	122	121	200	154
"YDR056C"	64	77	27	90	64	66	102	122	58	106	113	97
"YDR057W"	3	8	3	8	3	5	7	6	4	7	5	7
"YDR058C"	0	1	2	4	3	0	5	9	4	5	6	5
"YDR059C"	20	26	9	22	21	15	85	102	51	80	105	68
"YDR060W"	20	23	6	16	29	17	0	0	0	0	0	1
"YDR061W"	5	14	3	7	3	8	14	19	14	15	23	12
"YDR062W"	51	54	23	55	57	37	47	43	29	38	59	41
"YDR063W"	42	63	25	50	62	39	92	119	43	93	107	85
"YDR064W"	3154	3435	1200	3443	3367	2543	886	1143	512	860	1021	742
"YDR065W"	5	7	1	3	9	4	3	7	3	6	13	5
"YDR066C"	3	4	0	0	9	4	10	10	4	2	7	5
"YDR067C"	13	20	4	16	16	10	15	22	12	19	25	11
"YDR068W"	17	18	3	18	23	16	18	23	18	20	24	13
"YDR069C"	1	1	0	2	2	0	3	5	1	3	0	4
"YDR070C"	0	4	2	4	0	2	39	26	24	13	42	27
"YDR071C"	119	117	53	153	139	105	109	161	71	112	140	120
"YDR072C"	19	23	14	24	17	12	11	22	6	17	16	11
"YDR073W"	25	29	15	29	22	18	32	38	24	28	35	27
"YDR074W"	2	2	1	1	3	3	12	18	10	25	10	15
"YDR075W"	5	8	3	7	7	4	0	2	1	3	4	1
"YDR076W"	0	2	0	2	3	0	2	2	3	6	3	6
"YDR077W"	1122	1324	431	1082	1261	903	2935	3704	1629	2880	3354	2618
"YDR078C"	8	3	3	5	13	3	8	6	3	1	2	6
"YDR079W"	25	26	10	23	26	19	36	71	25	33	38	43
"YDR079C.A"	16	15	2	14	10	5	11	17	5	10	9	9
"YDR080W"	9	9	1	6	5	4	13	10	4	6	16	10
"YDR081C"	8	5	2	12	13	6	16	9	1	6	15	2
"YDR082W"	4	3	0	7	6	6	5	10	1	4	7	6
"YDR083W"	45	36	14	41	50	35	1	3	0	1	5	2
"YDR084C"	35	49	15	43	40	26	85	111	47	70	95	55
"YDR085C"	1	1	0	2	2	2	12	13	5	17	10	9
"YDR086C"	439	482	163	502	503	389	407	523	250	404	452	378
"YDR087C"	62	61	12	56	60	28	0	3	0	2	2	2
"YDR088C"	3	5	6	3	6	3	4	8	1	6	8	3
"YDR089W"	14	8	1	6	8	3	25	12	14	18	23	12
"YDR090C"	14	23	5	19	11	7	80	103	61	74	90	85
"YDR091C"	41	48	19	46	35	27	5	7	8	9	14	8
"YDR092W"	34	61	15	69	58	46	73	104	58	94	106	86
"YDR093W"	1	0	0	1	1	4	5	4	2	5	4	5
"YDR094W"	1	0	1	3	3	0	0	3	2	1	1	3
"YDR095C"	0	0	0	0	0	0	0	0	0	0	0	0
"YDR096W"	1	2	1	1	1	0	4	3	1	5	2	3
"YDR097C"	6	11	3	8	5	3	6	5	2	13	7	10
"YDR098C"	86	87	32	95	103	65	84	116	66	96	87	89
"YDR098C.B"	0	0	0	0	0	0	0	0	0	0	0	0
"YDR098C.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YDR099W"	143	141	45	170	128	126	273	321	148	243	291	225
"YDR100W"	35	34	11	24	37	17	135	193	84	119	141	124
"YDR101C"	40	30	13	31	33	26	1	0	0	1	1	0
"YDR102C"	0	0	0	0	0	0	0	0	0	0	0	0
