"YLR044C"	"YHR174W"	"YPR035W"
"767_YPDRapa"	24	24	2
"768_YPDRapa"	22	22	3
"769_YPDRapa"	26	42	3
"770_YPDRapa"	18	11	3
"771_YPDRapa"	24	21	1
"772_YPDRapa"	35	37	11
"773_YPDRapa"	37	38	3
"774_YPDRapa"	91	66	2
"775_YPDRapa"	48	35	5
"776_YPDRapa"	45	77	8
"777_YPDRapa"	10	17	9
"778_YPDRapa"	30	37	6
"779_YPDRapa"	6	12	5
"780_YPDRapa"	35	45	9
"781_YPDRapa"	35	39	3
"782_YPDRapa"	17	35	8
"783_YPDRapa"	41	31	6
"784_YPDRapa"	28	23	10
"785_YPDRapa"	13	26	0
"786_YPDRapa"	42	48	3
"787_YPDRapa"	18	24	6
"788_YPDRapa"	21	18	6
"789_YPDRapa"	37	31	5
"790_YPDRapa"	18	30	4
"791_YPDRapa"	12	13	1
"792_YPDRapa"	15	5	5
"793_YPDRapa"	22	21	3
"794_YPDRapa"	13	18	3
"795_YPDRapa"	21	22	5
"796_YPDRapa"	26	26	6
"797_YPDRapa"	22	22	3
"798_YPDRapa"	41	40	12
"799_YPDRapa"	42	46	7
"800_YPDRapa"	32	21	4
"801_YPDRapa"	47	66	4
"802_YPDRapa"	23	26	3
"803_YPDRapa"	25	36	5
"804_YPDRapa"	26	25	1
"805_YPDRapa"	29	36	4
"806_YPDRapa"	20	20	8
"807_YPDRapa"	68	69	10
"808_YPDRapa"	16	12	2
"809_YPDRapa"	17	27	1
"810_YPDRapa"	29	35	8
"811_YPDRapa"	34	81	9
"812_YPDRapa"	16	16	1
"813_YPDRapa"	22	9	2
"814_YPDRapa"	20	16	2
"815_YPDRapa"	15	8	4
